	abstract	1	2	3	4	5	6	7	8	9	10
4017	20440844.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4018	20442866.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
4033	20469721.txt	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
4080	20532227.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4081	20534589.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4089	20554962.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4093	20566831.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4101	20580690.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4117	20608941.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4125	20624904.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4158	20670691.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4161	20679445.txt	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0
